topic_number,topic_mix
20,"0.150*""freelance"" + 0.116*""creative-freelancers"" + 0.101*""coworking"" + 0.081*""entrepreneurship"" + 0.061*""professional-networking"" + 0.053*""startup-businesses"" + 0.044*""co-working-space"" + 0.041*""business-strategy"" + 0.032*""business-entrepreneur-networking"" + 0.031*""smallbiz"""
21,"0.039*""intellectual-discussion"" + 0.026*""marketing-and-entrepreneurship"" + 0.026*""makers"" + 0.026*""iniciando-mi-propio-negocio"" + 0.026*""engineering"" + 0.020*""geeks-nerds"" + 0.015*""newtech"" + 0.013*""protecting-my-invention"" + 0.013*""windows-8"" + 0.013*""branding-your-business"""
22,"0.109*""smallbiz"" + 0.100*""entrepreneurship"" + 0.095*""business-strategy"" + 0.082*""women-entrepreneurs"" + 0.062*""professional-networking"" + 0.060*""executive-coaching"" + 0.050*""small-business-marketing-strategy"" + 0.050*""marketing"" + 0.049*""business-entrepreneur-networking"" + 0.033*""business"""
23,"0.081*""microsft"" + 0.073*""windows"" + 0.055*""microsoft-technology"" + 0.055*""office-365"" + 0.042*""microsoft-exchange-server"" + 0.025*""apps-y-apis-para-office"" + 0.025*""microsoft-office-365-public-cloud-based-technology"" + 0.025*""overview-of-office-365-features-and-functionalites"" + 0.025*""excel"" + 0.025*""microsoft-excel"""
24,"0.122*""leadership"" + 0.097*""prodev"" + 0.081*""publicspeaking"" + 0.074*""self-improvement"" + 0.074*""communication-skills"" + 0.070*""self-empowerment"" + 0.065*""toastmasters"" + 0.056*""fear-of-public-speaking"" + 0.056*""personal-development"" + 0.048*""professional-networking"""
25,"0.118*""professional-networking"" + 0.108*""business-referral-networking"" + 0.068*""socialnetwork"" + 0.050*""business-entrepreneur-networking"" + 0.042*""prodev"" + 0.041*""entrepreneurship"" + 0.040*""networkmarket"" + 0.035*""sales"" + 0.032*""b2b-networking"" + 0.032*""smallbiz"""
26,"0.083*""google-technology-user-group"" + 0.080*""google"" + 0.047*""google-apps"" + 0.035*""android"" + 0.028*""google-maps"" + 0.028*""google-adwords"" + 0.019*""google-seo"" + 0.011*""seo-search-engine-optimization"" + 0.009*""eventplanning"" + 0.009*""event-marketing"""
27,"0.105*""business-strategy"" + 0.097*""entrepreneurship"" + 0.096*""prodev"" + 0.096*""business-entrepreneur-networking"" + 0.072*""startup-businesses"" + 0.064*""professional-networking"" + 0.060*""knowledge-sharing"" + 0.045*""young-entrepreneur"" + 0.042*""collaboration-between-creative-minds"" + 0.035*""edtech"""
28,"0.119*""cryptocurrency"" + 0.112*""bitcoin"" + 0.090*""digital-currency"" + 0.084*""blockchain"" + 0.070*""virtual-currency"" + 0.055*""bitcoin-miners"" + 0.055*""ethereum"" + 0.047*""newtech"" + 0.038*""cryptography"" + 0.036*""money"""
29,"0.127*""technology-startups"" + 0.112*""startup-businesses"" + 0.083*""entrepreneurship"" + 0.076*""internet-startups"" + 0.059*""newtech"" + 0.049*""lean-startup"" + 0.045*""business-entrepreneur-networking"" + 0.041*""web"" + 0.039*""business-strategy"" + 0.036*""venture-capital"""
30,"0.039*""internetpro"" + 0.036*""negocios-en-espanol"" + 0.026*""empresarios-de-tecnologia"" + 0.026*""empresarios-independientes-latinos"" + 0.026*""new-product-development-software-tech"" + 0.026*""software-qa-and-testing"" + 0.026*""software-product-management"" + 0.026*""busco-socio"" + 0.026*""agile-project-management"" + 0.018*""emprendedores"""
31,"0.102*""mobile-game-development"" + 0.084*""game-production"" + 0.041*""android-game-development"" + 0.022*""science-and-technology"" + 0.022*""ios-game-development"" + 0.022*""motivation"" + 0.015*""computer-programming"" + 0.013*""startup-businesses"" + 0.012*""newtech"" + 0.011*""socialnetwork"""
32,"0.041*""javascript-applications"" + 0.039*""mongodb"" + 0.039*""transformation"" + 0.021*""newtech"" + 0.020*""web"" + 0.020*""softwaredev"" + 0.020*""javascript-frameworks"" + 0.019*""rideshare"" + 0.019*""carpooling"" + 0.019*""transportation-sharing"""
33,"0.047*""crm"" + 0.044*""customer-relationship-management"" + 0.033*""cloudera"" + 0.033*""saas-software-as-a-service"" + 0.031*""cloud-computing"" + 0.023*""softwaredev"" + 0.022*""salesforce"" + 0.022*""heroku"" + 0.022*""force-com"" + 0.022*""impala"""
34,"0.103*""mobile-development"" + 0.087*""ios-development"" + 0.083*""android-developers"" + 0.061*""xamarin"" + 0.053*""mobile-technology"" + 0.052*""android"" + 0.048*""csharp"" + 0.047*""dotnet"" + 0.046*""softwaredev"" + 0.034*""cross-platform-development"""
35,"0.150*""projectmgmt"" + 0.081*""project-management-tools"" + 0.079*""project-management-professional"" + 0.070*""pmp"" + 0.063*""pmp-certification"" + 0.043*""pmi"" + 0.041*""scrum"" + 0.041*""project-management-professional-certification"" + 0.041*""pmp-exam"" + 0.041*""project-management-coaching"""
36,"0.096*""ui-design"" + 0.079*""user-interface-design"" + 0.041*""nlp-coaching"" + 0.041*""automation"" + 0.028*""sketch-app"" + 0.028*""productdesign"" + 0.028*""group-coaching"" + 0.027*""test-automation"" + 0.017*""socialnetwork"" + 0.014*""travel"""
37,"0.074*""ai"" + 0.039*""natural-language-processing"" + 0.029*""artificial-intelligence-programming"" + 0.027*""opensource"" + 0.025*""drupal"" + 0.025*""cms"" + 0.022*""artificial-intelligence-applications"" + 0.021*""semweb"" + 0.019*""softwaredev"" + 0.017*""drupal-developers"""
38,"0.034*""entrepreneurship"" + 0.032*""data-analysis"" + 0.027*""prodev"" + 0.022*""women-entrepreneurs"" + 0.021*""startup-businesses"" + 0.018*""professional-networking"" + 0.017*""technology"" + 0.016*""presentations"" + 0.016*""success"" + 0.016*""corporate-communications"""
39,"0.116*""entrepreneurship-training"" + 0.100*""csharp"" + 0.100*""dotnet"" + 0.075*""sqlserver"" + 0.073*""windows-azure-platform"" + 0.072*""asp-net"" + 0.068*""asp-net-mvc"" + 0.019*""cloud-computing"" + 0.014*""microsoft-technology"" + 0.013*""microsoft-azure"""
40,"0.108*""web-application-development"" + 0.043*""data"" + 0.043*""web-application"" + 0.022*""ebizowners"" + 0.022*""datamanagement"" + 0.022*""wordpress"" + 0.022*""php-framework"" + 0.022*""cms"" + 0.022*""mysql"" + 0.022*""php"""
41,"0.086*""trading"" + 0.085*""stock-trading"" + 0.057*""daytraders"" + 0.057*""options-trading"" + 0.047*""stock-investing"" + 0.042*""javascript-applications"" + 0.035*""javascript-libraries"" + 0.035*""stock-market"" + 0.034*""technical-analysis"" + 0.024*""technology-startups"""
42,"0.035*""technology-innovation"" + 0.028*""innovation"" + 0.023*""creative"" + 0.023*""the-future-of-video-games"" + 0.023*""console-gaming"" + 0.022*""social-entrepreneurship"" + 0.013*""newtech"" + 0.012*""business-entrepreneur-networking"" + 0.012*""videogame"" + 0.012*""games"""
43,"0.168*""small-business-networking"" + 0.095*""networking-leads"" + 0.052*""career-network"" + 0.032*""marketing"" + 0.032*""business-strategy"" + 0.030*""social-networking-business-networking-jobs"" + 0.028*""womens-business-networking"" + 0.022*""online-marketing"" + 0.021*""rc"" + 0.021*""digital-nomads"""
44,"0.040*""openerp"" + 0.040*""odoo"" + 0.031*""newtech"" + 0.027*""financial-innovation"" + 0.027*""erp-software"" + 0.027*""erp-consulting"" + 0.020*""edtech"" + 0.018*""opensource"" + 0.017*""mobile-technology"" + 0.014*""publicrelations"""
45,"0.115*""ux-design"" + 0.098*""user-experience"" + 0.072*""ixd"" + 0.064*""mobile-user-experience"" + 0.055*""usability"" + 0.046*""user-research"" + 0.046*""lean-ux"" + 0.037*""ui-ux-design"" + 0.027*""ia"" + 0.020*""softwaredev"""
46,"0.070*""computer-programming"" + 0.060*""opensource"" + 0.053*""internet-of-things"" + 0.049*""smart-sensors"" + 0.045*""edtech"" + 0.044*""arduino"" + 0.038*""robotics"" + 0.035*""softwaredev"" + 0.034*""electronics"" + 0.029*""big-data"""
47,"0.044*""pymes"" + 0.042*""digital-marketing-professionals"" + 0.025*""business-entrepreneur-networking"" + 0.023*""redes-de-contacto"" + 0.023*""women-entrepreneurs"" + 0.021*""play-framework"" + 0.021*""scala-akka"" + 0.021*""jvm-languages"" + 0.016*""startup-businesses"" + 0.014*""professional-networking"""
48,"0.100*""devops"" + 0.093*""cloud-computing"" + 0.077*""opensource"" + 0.062*""virtualization"" + 0.049*""configuration-management"" + 0.049*""openstack"" + 0.048*""infrastructure-as-code"" + 0.048*""continuous-delivery"" + 0.048*""linux"" + 0.047*""sysadmin"""
49,"0.074*""design-thinking"" + 0.054*""javascript-applications"" + 0.049*""angular2"" + 0.033*""visual-thinking"" + 0.033*""digital-marketer"" + 0.024*""css"" + 0.022*""investing"" + 0.017*""internetpro"" + 0.017*""professional-networking"" + 0.017*""entrepreneurship"""
50,"0.053*""hackers-and-makers"" + 0.036*""android"" + 0.031*""productdesign"" + 0.031*""diy-technology"" + 0.031*""arduino-netduino-and-robotics"" + 0.025*""emprendedores"" + 0.017*""agile-project-management"" + 0.015*""big-data"" + 0.015*""software-architecture"" + 0.015*""react"""
51,"0.054*""application-development"" + 0.043*""creative"" + 0.043*""programming-with-html-css-php-mysql"" + 0.033*""technology-startups"" + 0.030*""web"" + 0.029*""accounting"" + 0.029*""internet-of-things"" + 0.028*""data-engineering"" + 0.020*""opensource"" + 0.015*""innovation"""
52,"0.051*""career-coaching"" + 0.048*""lifetransform"" + 0.036*""forex-trading-education"" + 0.026*""airbnb"" + 0.026*""desarrollo-personal-y-liderazgo"" + 0.025*""fx-trading"" + 0.025*""finance"" + 0.024*""forextrading"" + 0.019*""business-entrepreneur-networking"" + 0.013*""startup-businesses"""
53,"0.085*""google-developer-group"" + 0.046*""google"" + 0.035*""softwaredev"" + 0.029*""lifetransform"" + 0.029*""google-app-engine"" + 0.028*""mompreneurs"" + 0.028*""creative"" + 0.027*""business-owners"" + 0.022*""web"" + 0.019*""android"""
54,"0.039*""innovation"" + 0.037*""business-strategy"" + 0.033*""kanban"" + 0.032*""scaling-agile"" + 0.032*""collaboration-between-creative-minds"" + 0.032*""knowledge-management"" + 0.032*""java-concurrency"" + 0.031*""lego-serious-play"" + 0.031*""metodologia-lego-serious-play"" + 0.031*""lego"""
55,"0.127*""learning"" + 0.102*""knowledge-sharing"" + 0.049*""cloud-computing"" + 0.042*""softwaredev"" + 0.042*""collaboration-between-creative-minds"" + 0.040*""saas-software-as-a-service"" + 0.036*""collaboration"" + 0.036*""high-scalability-computing"" + 0.036*""prodev"" + 0.032*""edtech"""
56,"0.071*""founders"" + 0.037*""hacking"" + 0.036*""hackshackers"" + 0.020*""prodev"" + 0.018*""workathome"" + 0.018*""ceph"" + 0.018*""freelance-communication-marketing-professionals"" + 0.018*""application-development"" + 0.018*""making-extra-money"" + 0.018*""ayudas-a-empresas"""
57,"0.043*""startup-businesses"" + 0.038*""entrepreneurship"" + 0.037*""marketing"" + 0.032*""prodev"" + 0.026*""newtech"" + 0.025*""female-entrepreneurs"" + 0.024*""networkmarket"" + 0.018*""women-entrepreneurs"" + 0.013*""professional-networking"" + 0.013*""business-entrepreneur-networking"""
58,"0.105*""gamedev"" + 0.094*""gameprog"" + 0.090*""game-design"" + 0.090*""independent-game-development"" + 0.075*""video-game-development"" + 0.074*""videogame"" + 0.074*""video-game-design"" + 0.067*""unity"" + 0.055*""indie-games"" + 0.043*""gaming"""
59,"0.067*""ebizowners"" + 0.058*""marketing"" + 0.053*""business-strategy"" + 0.052*""digital-marketing"" + 0.049*""small-business-marketing-strategy"" + 0.032*""social-media-marketing"" + 0.031*""mapping"" + 0.031*""geographic-information-systems-gis"" + 0.031*""web-mapping"" + 0.031*""maps"""
60,"0.054*""internet-ecommerce"" + 0.051*""ecommerce-technology"" + 0.047*""building-an-online-business"" + 0.046*""internet-retail"" + 0.037*""startup-businesses"" + 0.031*""ecommerce-marketing"" + 0.024*""newtech"" + 0.021*""creative"" + 0.020*""innovation"" + 0.019*""shopify"""
61,"0.068*""startup-businesses"" + 0.055*""social-entrepreneurship"" + 0.045*""financial-technology"" + 0.045*""social-innovation"" + 0.037*""self-improvement"" + 0.027*""self-empowerment"" + 0.027*""payment-systems"" + 0.027*""financial-services"" + 0.027*""peer-to-peer-payment"" + 0.027*""emprendimiento-inteligente"""
62,"0.045*""elixir-programming"" + 0.044*""distributed-systems"" + 0.036*""elixir"" + 0.034*""erlang-programming"" + 0.033*""otp"" + 0.033*""newtech"" + 0.028*""functional-programming"" + 0.022*""graphicdesign"" + 0.022*""learning-erlang-and-otp"" + 0.012*""softwaredev"""
63,"0.035*""newtech"" + 0.033*""finance"" + 0.021*""entrepreneurship"" + 0.019*""professional-networking"" + 0.017*""computer-programming"" + 0.016*""bitcoin"" + 0.016*""women"" + 0.016*""concerts"" + 0.016*""entrepreneurs-network-marketers-connecting"" + 0.016*""networkers"""
64,"0.112*""emprendedores"" + 0.099*""business"" + 0.093*""entrepreneurship"" + 0.074*""business-development"" + 0.068*""innovation"" + 0.065*""startup-businesses"" + 0.055*""professional-networking"" + 0.039*""social-entrepreneurship"" + 0.034*""small-business-marketing-strategy"" + 0.022*""ebizowners"""
65,"0.057*""devops-automation"" + 0.015*""softwaredev"" + 0.014*""computer-graphics"" + 0.014*""unity"" + 0.014*""stereoscopic"" + 0.014*""google-cardboard"" + 0.014*""telepresence"" + 0.014*""real-estate-investing-meetings"" + 0.014*""apache-cordova"" + 0.014*""real-estate-investors"""
66,"0.064*""ibm"" + 0.064*""bigdatadevelopers"" + 0.047*""newtech"" + 0.032*""cloud-computing"" + 0.032*""scada-and-industrial-controls-security"" + 0.032*""ingenieria"" + 0.032*""engineering"" + 0.032*""industrial"" + 0.002*""softwaredev"" + 0.001*""opensource"""
67,"0.228*""online-marketing"" + 0.113*""seo-search-engine-optimization"" + 0.101*""social-media-marketing"" + 0.057*""internetpro"" + 0.044*""entrepreneurship"" + 0.040*""marketing"" + 0.038*""small-business-online-marketing"" + 0.032*""professional-networking"" + 0.030*""content-marketing"" + 0.027*""small-business-marketing-strategy"""
68,"0.139*""agile-project-management"" + 0.091*""agile-transformation"" + 0.091*""agile-coaching"" + 0.089*""scrum"" + 0.084*""agile-leadership"" + 0.070*""xp"" + 0.056*""lean-startup"" + 0.049*""softwaredev"" + 0.048*""test-driven-development"" + 0.024*""computer-programming"""
69,"0.085*""startup-incubation-and-entrepreneurship-mentors"" + 0.051*""angel-investors"" + 0.041*""executive-coaching"" + 0.041*""crowdfunding"" + 0.041*""raising-capital"" + 0.036*""business-innovation"" + 0.034*""seed-funding"" + 0.034*""startup-financing"" + 0.033*""startup-pitching"" + 0.032*""business-strategy"""
70,"0.524*""businessintell"" + 0.052*""datamanagement"" + 0.050*""embedded-systems"" + 0.020*""internet-of-things"" + 0.004*""data-analytics"" + 0.003*""big-data-analytics"" + 0.002*""predictive-analytics"" + 0.002*""edtech"" + 0.001*""learning"" + 0.001*""open-source-hardware"""
71,"0.018*""socialnetwork"" + 0.016*""investing"" + 0.016*""financial-education"" + 0.016*""newtech"" + 0.016*""softwaredev"" + 0.016*""sharepoint-online"" + 0.016*""sharepoint-business-development"" + 0.016*""mobile-startups"" + 0.016*""sharepoint-2010"" + 0.016*""microsoft-sharepoint-technology"""
72,"0.045*""product-development"" + 0.044*""emerging-technologies"" + 0.030*""makerspaces"" + 0.029*""makers"" + 0.029*""hacking"" + 0.027*""technology-startups"" + 0.022*""social-media"" + 0.022*""photo"" + 0.022*""qlikview"" + 0.022*""business-intelligence-strategy"""
73,"0.044*""women-business-networking"" + 0.039*""prodev"" + 0.029*""business-to-business-network-marketing"" + 0.028*""htc-vive"" + 0.028*""mixed-reality"" + 0.015*""business"" + 0.015*""robotics"" + 0.015*""hardware"" + 0.015*""open-data"" + 0.015*""social-media-management"""
74,"0.123*""financial-education"" + 0.095*""investing"" + 0.085*""finance"" + 0.082*""financial-freedom"" + 0.068*""financial-planning"" + 0.054*""financial-independence"" + 0.050*""personal-finance"" + 0.048*""wealth-creation"" + 0.036*""money"" + 0.029*""entrepreneurship"""
75,"0.039*""sinatra-ruby-framework"" + 0.039*""gnu-linux"" + 0.034*""computer-programming"" + 0.033*""opensource"" + 0.026*""software-libre"" + 0.026*""hacking"" + 0.026*""web-development"" + 0.024*""android-app-design"" + 0.020*""edtech"" + 0.018*""docker"""
76,"0.017*""lego-robotics"" + 0.017*""business-ideas"" + 0.017*""robotics"" + 0.017*""transhumanism"" + 0.017*""universidades"" + 0.017*""human-computer-interaction"" + 0.017*""cnc-routing-and-machining"" + 0.017*""tessel"" + 0.017*""m2m"" + 0.017*""ixd"""
77,"0.033*""machine-intelligence"" + 0.033*""artificial-intelligence-machine-learning-robotics"" + 0.028*""blogging-to-promote-yourself"" + 0.017*""ai"" + 0.015*""natural-language-processing"" + 0.014*""online-marketing"" + 0.014*""blogging-for-business"" + 0.014*""agriculture-and-environment"" + 0.014*""sustainable-farming"" + 0.014*""owasp"""
78,"0.141*""newtech"" + 0.107*""edtech"" + 0.099*""softwaredev"" + 0.096*""web"" + 0.071*""computer-programming"" + 0.063*""internetpro"" + 0.053*""technology-startups"" + 0.050*""web-development"" + 0.038*""mobile-technology"" + 0.031*""entrepreneurship"""
79,"0.087*""graphicdesign"" + 0.061*""innovation"" + 0.048*""brainstorming-ideas"" + 0.048*""inddesign"" + 0.042*""webdesign"" + 0.035*""entrepreneurship"" + 0.033*""fashion-design"" + 0.033*""designers"" + 0.025*""internet-ecommerce"" + 0.025*""people-helping-people"""
80,"0.124*""functional-programming"" + 0.061*""programming-languages"" + 0.054*""softwaredev"" + 0.047*""scala"" + 0.042*""haskell"" + 0.038*""computer-programming"" + 0.028*""clojure"" + 0.027*""erlang-programming"" + 0.027*""newtech"" + 0.021*""lisp"""
81,"0.078*""lean-project-management"" + 0.067*""kanban"" + 0.057*""agile-testing"" + 0.053*""agile-project-management"" + 0.039*""concurrent-programming"" + 0.034*""computer-programming"" + 0.029*""go"" + 0.029*""project-management-practices"" + 0.029*""project-management-methods"" + 0.028*""golang"""
82,"0.125*""unity-3d-developers"" + 0.089*""unity-game-engine"" + 0.053*""business-startup"" + 0.046*""game-production"" + 0.036*""hacking"" + 0.036*""startup-business"" + 0.031*""startup-pitching"" + 0.029*""mobile-app-development"" + 0.021*""gamedev"" + 0.018*""mobile-startups"""
83,"0.101*""professional-women"" + 0.079*""womens-business-networking"" + 0.074*""womens-empowerment"" + 0.057*""php-application-development"" + 0.053*""php"" + 0.051*""womens-networking"" + 0.049*""female-entrepreneurs"" + 0.045*""women-small-business-owners"" + 0.045*""laravel"" + 0.040*""php-framework"""
84,"0.040*""start-up"" + 0.040*""business-start-up"" + 0.039*""direct-sales"" + 0.027*""web-development"" + 0.026*""how-to-start-a-business"" + 0.026*""sales-management"" + 0.026*""civic-engagement"" + 0.026*""civic-engagement-technology"" + 0.026*""open-data"" + 0.026*""medical"""
85,"0.112*""wordpress"" + 0.089*""wordpress-themes"" + 0.084*""webdesign"" + 0.068*""web-development"" + 0.067*""wordpress-websites"" + 0.067*""blogs"" + 0.060*""wordpress-plugins"" + 0.060*""wordpress-customization"" + 0.052*""wordpress-users"" + 0.045*""wordpress-small-business-web-sites"""
86,"0.121*""computer-programming"" + 0.107*""web-development"" + 0.089*""softwaredev"" + 0.079*""programming-languages"" + 0.071*""opensource"" + 0.059*""web"" + 0.048*""javascript"" + 0.043*""newtech"" + 0.040*""technology"" + 0.033*""ruby-on-rails"""
87,"0.059*""software-qa-and-testing"" + 0.044*""quality-assurance"" + 0.044*""software-testing"" + 0.033*""test-automation"" + 0.033*""software-quality"" + 0.031*""professional-networking"" + 0.026*""mobile-game-development"" + 0.025*""test-driven-development"" + 0.023*""agile-testing"" + 0.023*""creative"""
88,"0.081*""new-product-development-software-tech"" + 0.054*""software-development-technologies"" + 0.054*""software-development-process"" + 0.054*""social-networking-for-software-developers"" + 0.033*""newtech"" + 0.033*""softwaredev"" + 0.027*""kanban-software-development"" + 0.027*""apple-software-development"" + 0.027*""pragmatic-software-development"" + 0.027*""women-software-developers"""
89,"0.059*""impromptu-speaking"" + 0.057*""java"" + 0.039*""swift-language"" + 0.038*""agile-programming"" + 0.034*""computer-programming"" + 0.022*""newtech"" + 0.021*""agile-testing"" + 0.021*""big-data-analytics"" + 0.020*""server-side-swift"" + 0.020*""swift-package-manager"""
90,"0.142*""linux"" + 0.102*""opensource"" + 0.083*""sysadmin"" + 0.067*""gnu-linux"" + 0.067*""linux-server"" + 0.056*""devops"" + 0.050*""softwaredev"" + 0.049*""computer-programming"" + 0.041*""unix"" + 0.027*""python"""
91,"0.114*""nosql"" + 0.078*""hadoop"" + 0.065*""apache-spark"" + 0.062*""cloud-computing"" + 0.058*""apache-kafka"" + 0.058*""mapreduce"" + 0.051*""big-data"" + 0.051*""technology"" + 0.042*""opensource"" + 0.040*""newtech"""
92,"0.156*""android-developers"" + 0.125*""ios-development"" + 0.123*""mobile-development"" + 0.102*""mobile-technology"" + 0.065*""computer-programming"" + 0.061*""softwaredev"" + 0.054*""web-development"" + 0.032*""newtech"" + 0.025*""startup-businesses"" + 0.020*""java"""
93,"0.101*""internet-ecommerce"" + 0.072*""ecommerce-marketing"" + 0.066*""ecommerce-technology"" + 0.040*""email-marketing-ecommerce"" + 0.028*""magento"" + 0.028*""magento-meetups"" + 0.025*""email-campaign-marketing"" + 0.022*""marketing"" + 0.020*""webdesign"" + 0.015*""social-innovation"""
94,"0.071*""hcm"" + 0.059*""recruiting-and-hiring"" + 0.047*""networking-with-hr-professionals"" + 0.047*""hr"" + 0.047*""software-design"" + 0.043*""software-architecture"" + 0.036*""c-net"" + 0.036*""stategic-hr"" + 0.036*""recruitment"" + 0.036*""recruiting"""
95,"0.053*""careers"" + 0.045*""investing"" + 0.027*""storytelling"" + 0.027*""ibd"" + 0.026*""forextrading"" + 0.024*""self-improvement"" + 0.021*""social-entrepreneurship"" + 0.019*""business-strategy"" + 0.019*""trading"" + 0.015*""career-network"""
96,"0.039*""ubuntu"" + 0.029*""red-hat-enterprise-linux-rhel"" + 0.029*""it-professionals"" + 0.029*""meet-your-neighborhood-linux-users"" + 0.029*""business-intelligence-best-practices"" + 0.027*""business-analytics"" + 0.020*""civic-engagement-technology"" + 0.020*""civic-hacking"" + 0.020*""embedded-linux"" + 0.020*""qlik-sense"""
